"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
327 "tt3696774" 2015-03-06 2015-03-06 NA "Danny and the Wild Bunch" "https://www.imdb.com/title/tt3696774/" "short" 7.4 5 2014 "Animation, Short, Action, Family, Fantasy" 70 2014-11-15 "Robert Rugan" 9 2015-03-06
413 "tt4574334" 2017-09-12 2017-09-12 NA "Stranger Things" "https://www.imdb.com/title/tt4574334/" "tvSeries" 8.9 51 2016 "Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller" 477963 2016-07-11 NA 10 2018-01-03
168 "tt0254769" 2013-01-28 2013-01-28 NA "Shahr-e mooshha" "https://www.imdb.com/title/tt0254769/" "movie" 7.3 92 1986 "Comedy, Family, Fantasy, Musical" 439 1986-02-01 "Mohammad-Ali Talebi, Marzieh Boroomand" 10 2017-09-27
302 "tt0053125" 2014-03-05 2014-03-05 NA "North by Northwest" "https://www.imdb.com/title/tt0053125/" "movie" 8.3 136 1959 "Adventure, Mystery, Thriller" 254180 1959-07-01 "Alfred Hitchcock" 9 2014-03-05
46 "tt0421715" 2013-01-27 2013-01-27 NA "The Curious Case of Benjamin Button" "https://www.imdb.com/title/tt0421715/" "movie" 7.8 166 2008 "Drama, Fantasy, Romance" 511753 2008-12-10 "David Fincher" 9 2014-11-06
211 "tt0104437" 2013-01-29 2013-01-29 NA "Honey I Blew Up the Kid" "https://www.imdb.com/title/tt0104437/" "movie" 4.8 89 1992 "Adventure, Comedy, Family, Romance, Sci-Fi" 35494 1992-07-17 "Randal Kleiser" 4 2013-02-01
78 "tt0304141" 2013-01-27 2013-01-27 NA "Harry Potter and the Prisoner of Azkaban" "https://www.imdb.com/title/tt0304141/" "movie" 7.8 142 2004 "Adventure, Family, Fantasy, Mystery" 447808 2004-05-23 "Alfonso Cuarón" 6 2013-02-01
48 "tt0317705" 2013-01-27 2013-01-27 NA "The Incredibles" "https://www.imdb.com/title/tt0317705/" "movie" 8 115 2004 "Animation, Action, Adventure, Family" 541812 2004-10-27 "Brad Bird" 7 2013-02-01
281 "tt0025316" 2014-01-05 2014-01-05 NA "It Happened One Night" "https://www.imdb.com/title/tt0025316/" "movie" 8.1 105 1934 "Comedy, Romance" 79064 1934-02-22 "Frank Capra" 9 2014-01-07
333 "tt0138956" 2015-06-29 2015-06-29 NA "Beyond Belief: Fact or Fiction" "https://www.imdb.com/title/tt0138956/" "tvSeries" 8 60 1997 "Mystery, Thriller, Fantasy, Horror, Sci-Fi" 3261 1997-05-25 NA 8 2017-05-08
